=== GROUP RULES ===
RuleID,TallyGroupName,TallyParentGroup,MapsToCode,MapsToDescription,Notes
KW002,"Micro","Contains",EL-CL-TP-MSME,"Trade Payables - Due to MSME",90
KW003,"Small Enterprise","Contains",EL-CL-TP-MSME,"Trade Payables - Due to MSME",90
KW004,"Director","Contains",EL-NCL-LTB-LO,"Loans from Related Parties",85
KW005,"Promoter","Contains",EL-NCL-LTB-LO,"Loans from Related Parties",85
KW006,"Subsidiary","Contains",AS-NCA-NCI-EQ,"Investment in Equity Instruments",85
KW007,"Associate","Contains",AS-NCA-NCI-EQ,"Investment in Equity Instruments",85
KW008,"Holding Company","Contains",EL-NCL-LTB-LO,"Loans from Related Parties",85
KW009,"Securities Premium","Contains",EL-SHF-RS-SPR,"Securities Premium Reserve",75
KW010,"Capital Reserve","Contains",EL-SHF-RS-CR,"Capital Reserves",75
KW011,"General Reserve","Contains",EL-SHF-RS-GR,"General Reserve",75
KW012,"Revaluation Reserve","Contains",EL-SHF-RS-RVR,"Revaluation Reserve",75
KW013,"Profit & Loss","Contains",EL-SHF-RS-PL,"Surplus (Profit & Loss Account)",70
KW014,"P&L","Contains",EL-SHF-RS-PL,"Surplus (Profit & Loss Account)",70
KW015,"GST","Contains",EL-CL-OCL-SD,"Statutory Dues Payable",70
KW016,"TDS","Contains",EL-CL-OCL-SD,"Statutory Dues Payable",70
KW017,"TCS","Contains",EL-CL-OCL-SD,"Statutory Dues Payable",70
KW018,"PF Payable","Contains",EL-CL-OCL-SD,"Statutory Dues Payable",70
KW019,"ESI Payable","Contains",EL-CL-OCL-SD,"Statutory Dues Payable",70
KW020,"PT Payable","Contains",EL-CL-OCL-SD,"Statutory Dues Payable",70
KW021,"Provision for Gratuity","Contains",EL-NCL-LTP-EB,"Provision for Employee Benefits",70
KW022,"Provision for Leave","Contains",EL-CL-STP-EB,"Provision for Employee Benefits",70
KW023,"Provision for Tax","Contains",EL-CL-STP-TAX,"Provision for Tax",70
KW024,"Provision for Bad Debts","Contains",AS-CA-TR-PROV,"Less: Provision for Doubtful Debts",70
KW025,"Fixed Deposit","Contains",AS-CA-CCE-FD,"Fixed Deposits (Short-term)",65
KW026,"FD","Starts With",AS-CA-CCE-FD,"Fixed Deposits (Short-term)",60
KW027,"Current Account","Contains",AS-CA-CCE-BB,"Balances with Banks",60
KW028,"Savings Account","Contains",AS-CA-CCE-BB,"Balances with Banks",60
KW029,"Salary","Contains",EXP-EBE-SAL,"Salaries and Wages",65
KW030,"Wages","Contains",EXP-EBE-SAL,"Salaries and Wages",65
KW031,"Bonus","Contains",EXP-EBE-BON,"Bonus",65
KW032,"Staff Welfare","Contains",EXP-EBE-WEL,"Staff Welfare Expenses",65
KW033,"Audit Fee","Contains",EXP-OE-AUD,"Audit Fees",60
KW034,"Legal Fee","Contains",EXP-OE-LEG,"Legal and Professional Fees",60
KW035,"Professional Fee","Contains",EXP-OE-LEG,"Legal and Professional Fees",60
KW036,"Consulting","Contains",EXP-OE-LEG,"Legal and Professional Fees",55
KW037,"Travelling","Contains",EXP-OE-TRV,"Travelling and Conveyance",55
KW038,"Conveyance","Contains",EXP-OE-TRV,"Travelling and Conveyance",55
KW039,"Telephone","Contains",EXP-OE-TEL,"Telephone and Communication",55
KW040,"Insurance","Contains",EXP-OE-INS,"Insurance",55
KW041,"Bank Charges","Contains",EXP-FC-BC,"Bank Charges",55

=== OVERRIDE RULES ===
RuleID,ExactLedgerName,CurrentTallyGroup,OverrideToCode,OverrideToDescription,ReasonForOverride,EffectiveDate
OV001,"Building - Leasehold","Fixed Assets",AS-NCA-PPE-BU,"Buildings","Leasehold building to be disclosed under Buildings",""
OV002,"Goodwill (Acquired)","Fixed Assets",AS-NCA-IA-GW,"Goodwill","Reclassify from Fixed Assets to Intangible Assets",""
